BEZEN | נדיבות | משפטים טעונים (חסרוני+מוגזם)
- [קמצנות | מוגזם | דפוסי חשיבה] אין שום כוונה רעה אף פעם
- [קמצנות | מוגזם | דפוסי חשיבה] יש הסבר חיובי לכל דבר
- [קמצנות | מוגזם | דפוסי חשיבה] כל אדם הוא טוב לחלוטין
- [קמצנות | מוגזם | אמונות] כל אדם טוב במהותו
- [קמצנות | מוגזם | אמונות] פקפוק הוא שלילי
- [קמצנות | מוגזם | אמונות] אם אחשוב חיובי, המציאות תהיה חיובית
- [קמצנות | חסרוני | דפוסי חשיבה] יש רק דרך נכונה אחת
- [קמצנות | חסרוני | דפוסי חשיבה] מי שלא מסכים איתי טועה
- [קמצנות | חסרוני | דפוסי חשיבה] האמת היא מוחלטת
- [קמצנות | חסרוני | אמונות] אמת היא מוחלטת וברורה
- [קמצנות | חסרוני | אמונות] גמישות היא חולשה
- [קמצנות | חסרוני | אמונות] האחר הוא איום
- [קמצנות | מוגזם | דפוסי חשיבה] הכל נכון באותה מידה
- [קמצנות | מוגזם | דפוסי חשיבה] אין לי זכות לשפוט דבר
- [קמצנות | מוגזם | דפוסי חשיבה] כל דעה היא לגיטימית באותה מידה
- [קמצנות | מוגזם | אמונות] אין אמת אובייקטיבית כלל
- [קמצנות | מוגזם | אמונות] כל שיפוט הוא שיפוטיות
- [קמצנות | מוגזם | אמונות] סובלנות פירושה קבלת הכל
- [קמצנות | חסרוני | דפוסי חשיבה] לעולם לא אסלח
- [קמצנות | חסרוני | דפוסי חשיבה] מי שפגע חייב לשלם
- [קמצנות | חסרוני | דפוסי חשיבה] צדק משמעו עונש
- [קמצנות | חסרוני | אמונות] סליחה היא חולשה
- [קמצנות | חסרוני | אמונות] פגיעה דורשת תשלום מלא
- [קמצנות | חסרוני | אמונות] אנשים לא משתנים
- [קמצנות | מוגזם | דפוסי חשיבה] חייבים לסלוח על הכל
- [קמצנות | מוגזם | דפוסי חשיבה] אסור לכעוס
- [קמצנות | מוגזם | דפוסי חשיבה] צריך פשוט להמשיך הלאה
- [קמצנות | מוגזם | אמונות] סליחה חייבת להיות מיידית
- [קמצנות | מוגזם | אמונות] אסור לדרוש אחריות
- [קמצנות | מוגזם | אמונות] מחילה פירושה שיכחה מוחלטת
- [קמצנות | חסרוני | דפוסי חשיבה] למה שאחלוק מה שעבדתי עליו קשה
- [קמצנות | חסרוני | דפוסי חשיבה] ידע הוא כוח שאין לחלק
- [קמצנות | חסרוני | דפוסי חשיבה] אם אלמד אחרים, לא יצטרכו אותי
- [קמצנות | חסרוני | אמונות] ידע הוא משאב מוגבל
- [קמצנות | חסרוני | אמונות] אם אחרים יודעים, ערכי יורד
- [קמצנות | חסרוני | אמונות] החזקת ידע מבטיחה יתרון
- [קמצנות | מוגזם | דפוסי חשיבה] אני יודע מה טוב בשבילך
- [קמצנות | מוגזם | דפוסי חשיבה] חובתי להאיר את עיני האחרים
- [קמצנות | מוגזם | דפוסי חשיבה] אני פשוט רואה את זה ברור יותר
- [קמצנות | מוגזם | אמונות] אני אחראי להעביר את האמת
- [קמצנות | מוגזם | אמונות] אנשים צריכים את החוכמה שלי
- [קמצנות | מוגזם | אמונות] ללא הכוונה, אנשים יטעו
- [קמצנות | חסרוני | דפוסי חשיבה] עדיף להיות רק עם אנשים כמוני
- [קמצנות | חסרוני | דפוסי חשיבה] זרים מסוכנים
- [קמצנות | חסרוני | דפוסי חשיבה] אין טעם להתערבב
- [קמצנות | חסרוני | אמונות] שונות מאיימת על זהותנו
- [קמצנות | חסרוני | אמונות] לא ניתן באמת להבין את האחר
- [קמצנות | חסרוני | אמונות] קהילות טהורות חזקות יותר
- [קמצנות | מוגזם | דפוסי חשיבה] אסור להגדיר שום גבול
- [קמצנות | מוגזם | דפוסי חשיבה] כולנו אותו דבר לחלוטין
- [קמצנות | מוגזם | דפוסי חשיבה] כל הבדל הוא אפליה
- [קמצנות | מוגזם | אמונות] כל גבול הוא הדרה
- [קמצנות | מוגזם | אמונות] אין ערך לייחודיות
- [קמצנות | מוגזם | אמונות] הכלה פירושה ביטול כל הבדל
- [קמצנות | חסרוני | התנהגויות] מניעת תרומות
- [קמצנות | חסרוני | התנהגויות] התחמקות מתשלום
- [קמצנות | חסרוני | התנהגויות] ספירה אובססיבית של הוצאות
- [קמצנות | מוגזם | התנהגויות] הוצאת כספים ללא שליטה
- [קמצנות | מוגזם | התנהגויות] מתנות יקרות מדי
- [קמצנות | מוגזם | התנהגויות] נטילת חובות כדי לתת
- [קמצנות | חסרוני | התנהגויות] סירוב עקבי לבקשות עזרה
- [קמצנות | חסרוני | התנהגויות] האצת שיחות
- [קמצנות | חסרוני | התנהגויות] היעדר הקשבה אמיתית
- [קמצנות | מוגזם | התנהגויות] ביטול תוכניות אישיות למען אחרים
- [קמצנות | מוגזם | התנהגויות] היענות לכל בקשה
- [קמצנות | מוגזם | התנהגויות] עבודה ללא הפסקה
- [קמצנות | חסרוני | התנהגויות] היעדר אמירת תודה
- [קמצנות | חסרוני | התנהגויות] התלוננות במקום הערכה
- [קמצנות | חסרוני | התנהגויות] זלזול במאמצי אחרים
- [קמצנות | מוגזם | התנהגויות] התנצלות מתמדת
- [קמצנות | מוגזם | התנהגויות] ניסיונות מופרזים להחזיר
- [קמצנות | מוגזם | התנהגויות] ויתור על צרכים אישיים
- [קמצנות | חסרוני | התנהגויות] חיפוש אחר כשלים
- [קמצנות | חסרוני | התנהגויות] ביקורת מתמדת
- [קמצנות | חסרוני | התנהגויות] הנחת כוונות שליליות
- [קמצנות | מוגזם | התנהגויות] התעלמות מדפוסים בעייתיים
- [קמצנות | מוגזם | התנהגויות] מתן אמון מלא לזרים
- [קמצנות | מוגזם | התנהגויות] הימנעות מלהציב גבולות
- [קמצנות | חסרוני | התנהגויות] כפיית דעות על אחרים
- [קמצנות | חסרוני | התנהגויות] סירוב להקשיב לעמדות מנוגדות
- [קמצנות | חסרוני | התנהגויות] לעג לאמונות אחרות
- [קמצנות | מוגזם | התנהגויות] הימנעות מכל עמדה ברורה
- [קמצנות | מוגזם | התנהגויות] קבלת התנהגויות פוגעניות
- [קמצנות | מוגזם | התנהגויות] ויתור על עקרונות אישיים
- [קמצנות | חסרוני | התנהגויות] חזרה מתמדת לפגיעות העבר
- [קמצנות | חסרוני | התנהגויות] חיפוש דרכים להשיב
- [קמצנות | חסרוני | התנהגויות] סירוב לקבל התנצלות
- [קמצנות | מוגזם | התנהגויות] מחילה מיידית ללא תהליך
- [קמצנות | מוגזם | התנהגויות] הימנעות משיחה על הפגיעה
- [קמצנות | מוגזם | התנהגויות] חזרה למערכות יחסים פוגעניות
- [קמצנות | חסרוני | התנהגויות] הסתרת מידע
- [קמצנות | חסרוני | התנהגויות] מתן תשובות חלקיות
- [קמצנות | חסרוני | התנהגויות] יצירת תלות דרך מידע
- [קמצנות | מוגזם | התנהגויות] מתן עצות לא מוזמנות
- [קמצנות | מוגזם | התנהגויות] הארכת שיחות לשם העברת מסרים
- [קמצנות | מוגזם | התנהגויות] שליטה בדיון
- [קמצנות | חסרוני | התנהגויות] הימנעות ממפגשים מגוונים
- [קמצנות | חסרוני | התנהגויות] יצירת קבוצות סגורות
- [קמצנות | חסרוני | התנהגויות] הדרת מי שלא 'מתאים'
- [קמצנות | מוגזם | התנהגויות] ויתור על מרחב אישי
- [קמצנות | מוגזם | התנהגויות] הכנסת זרים ללא שיקול דעת
- [קמצנות | מוגזם | התנהגויות] טשטוש הבדלים תרבותיים חשובים
