BEZEN | ענווה | משפטים טעונים (חסרוני+מוגזם)
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להתעלם מהערות ביקורתיות, מתוך אמונה שהן אינן רלוונטיות לי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מקפיד לדבר על עצמי ולהבליט את תרומתי, גם אם זה על חשבון שיתוף פעולה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שרק אני יכול להוביל בצורה נכונה, ולכן אין צורך להסתמך על דעות אחרות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהצלחתי מעידה על ייחודי שאין לו מתחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהצלחות אישיות הן המדד העיקרי להערכה, גם אם זה מוביל להתעלמות מתרומתם של אחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני עלול לסגור את הראש לביקורת ובכך לא ללמוד מניסיון של אחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהישגיי הם מינוריים ושאין לי תרומה משמעותית להביא.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להמעיט בכל מחמאה, מתוך מחשבה שאין לי מה לציין.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שכל שבח הוא בלתי מוצדק ושאני צריך להמעיט את חשיבות עצמי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש חוסר ביטחון שמוביל להמעיט בכל הצלחה אישית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש תחושת אשמה כאשר מקבלים עליי שבחים, כיוון שאני סבור שאינני ראוי להם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה רגשות של עצבות או תסכול כאשר אני מתעלם מהישגיי ומתרומה אישית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נמנע מלדבר על הישגיי או לתעד אותם, גם כאשר זה יכול להועיל לאחרים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתנהג בצניעות עד כדי התעלמות מהצלחות שהשגתי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מפסיק ליזום ולבצע פעולות שעלולות להביא להכרה עצמית, מתוך חשש מהצגת עצמי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שענווה אמיתית מחייבת התעלמות מהישגים אישיים, גם אם זה מזיק לי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שכל מחמאה היא פחותה ובלתי מוצדקת, ולכן יש להמעיט בערכיה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שעדיף להמעיט ביכולותיי כדי לא להיראות מתנשא, גם אם זה מוביל לחוסר ביטחון.
