BEZEN | הערכת יופי | משפטים טעונים (חסרוני+מוגזם)
- [כללי | לא-מסווג | דפוסי חשיבה] אני נמנע מהשתתפות בפעילויות תרבותיות, כגון ביקור בתערוכות או מופעי אמנות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתעלם מעיצובים וסביבות המעוצבות באסתטיקה גבוהה, ללא הכרה בערכם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתמקד בעשייה מעשית ואינני משקיע זמן בהתבוננות ביצירות אמנות או בנופים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שערכים פונקציונליים חשובים יותר מאשר יופי ואסתטיקה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהיופי הוא עניין סובייקטיבי ולא מהותי להצלחת החיים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שההתמקדות בנושאים מעשיים מבטיחה תוצאות יעילות, גם אם כך נוטה להזניח את עולם האסתטיקה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שכל פרט צריך לעמוד בסטנדרטים אסתטיים גבוהים, גם כאשר אין בכך צורך.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהיופי הוא המדד המרכזי להערכת ערך ואיכות בכל דבר.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שכל דבר שמסיט מהתפיסה האסתטית שלי הוא חוסר ערך, גם אם הוא בעל תועלת מעשית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש התרגשות עזה כאשר נחשף לדברים שעומדים בסטנדרטים גבוהים של יופי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה תחושת תסכול ואי שביעות רצון כאשר נתקלים ביצירות או סביבות שאינן מושלמות בעיניי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש לחץ פנימי להעריך כל פרט בצורה מדוקדקת, מה שעלול לעורר חרדות לגבי הפגמים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני משקיע מאמצים רבים בבחירת פריטים, עיצובים וסביבות העונים לסטנדרטים האסתטיים שלי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה לבקר בקפדנות כל יצירה או עיצוב שאינו תואם את תפיסת היופי שלי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתמקד בהפגת כל חריגה מהמודל האידיאלי, גם כאשר הדבר עלול להוביל לביקורת עצמית ומסביבתי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שיופי הוא האינדיקטור הבסיסי להצלחה ולהערכה חברתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שרק מה שמרהיב בעיניי יכול להיחשב לבעל ערך אמיתי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהבעת יופי היא המדד האולטימטיבי לביטוי עצמי וליצירת זהות.
