BEZEN | יצירתיות חוזקה 8 תכונות ו15 מאפייניה | משפטים טעונים (חסרוני+מוגזם)
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] חייבים להיות הראשונים עם כל טכנולוגיה חדשה
- [נוקשות חשיבתית | מוגזם | אמונות] חדש תמיד עדיף על ישן
- [נוקשות חשיבתית | מוגזם | אמונות] חדשנות היא מטרה בפני עצמה
- [נוקשות חשיבתית | מוגזם | אמונות] אם לא משתנים כל הזמן, נשארים מאחור
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] נפעל לפי הנוהל הרגיל
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אם זה עבד פעם, יעבוד גם הפעם
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אין צורך להמציא את הגלגל מחדש
- [נוקשות חשיבתית | חסרוני | אמונות] יש רק מספר מוגבל של פתרונות אפשריים
- [נוקשות חשיבתית | חסרוני | אמונות] חדשנות היא לא הכרחית לרוב הבעיות
- [נוקשות חשיבתית | חסרוני | אמונות] עדיף להיצמד למה שידוע
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] בואו נמציא פתרון מהפכני לבעיה פשוטה
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] זה נראה פשוט מדי, בטח יש משהו שפספסנו
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] פתרון רגיל הוא משעמם
- [נוקשות חשיבתית | מוגזם | אמונות] מורכבות היא סימן ליצירתיות
- [נוקשות חשיבתית | מוגזם | אמונות] פתרון פשוט הוא כנראה שטחי
- [נוקשות חשיבתית | מוגזם | אמונות] אם זה לא קשה, זה לא מספיק יצירתי
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] זה לא קשור לתחום שלנו
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אני מתמקד רק במה שאני מכיר
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אין טעם להסתכל מחוץ למסגרת המקצועית
- [נוקשות חשיבתית | חסרוני | אמונות] הידע בתחומי הוא היחיד הרלוונטי
- [נוקשות חשיבתית | חסרוני | אמונות] התמחות עמוקה עדיפה על רוחב
- [נוקשות חשיבתית | חסרוני | אמונות] שילוב תחומים יוצר בלבול
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] בואו נכניס עוד ועוד תחומים
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] כל דבר קשור לכל דבר
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] אני מתעניין בהכל במקביל
- [נוקשות חשיבתית | מוגזם | אמונות] עומק הוא מגבלה על היצירתיות
- [נוקשות חשיבתית | מוגזם | אמונות] התמחות היא מלכודת
- [נוקשות חשיבתית | מוגזם | אמונות] ידע נרחב שטחי עדיף על ידע עמוק ממוקד
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] מוטב לא להסתכן ברעיון חדש
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] מה יחשבו עלי אם אטעה
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] עדיף להיצמד למה שבטוח
- [נוקשות חשיבתית | חסרוני | אמונות] רעיונות חדשים בדרך כלל נדחים
- [נוקשות חשיבתית | חסרוני | אמונות] כישלון הוא סימן לחוסר כישרון
- [נוקשות חשיבתית | חסרוני | אמונות] עדיף להיות בטוח מאשר יצירתי
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] אני אעשה רק מה שנראה לי
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] ביקורת היא רק קנאה
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] חייבים להיות רדיקליים תמיד
- [נוקשות חשיבתית | מוגזם | אמונות] יצירתיות אמיתית חייבת להיות פורצת גבולות
- [נוקשות חשיבתית | מוגזם | אמונות] הממסד תמיד טועה
- [נוקשות חשיבתית | מוגזם | אמונות] רק דרך שבירת כל הכללים מגיעים לחדשנות
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] בואו נעשה בדיוק כמו שהם עשו
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אין צורך להמציא מחדש
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אני מעדיף להשתמש ברעיונות מוכחים
- [נוקשות חשיבתית | חסרוני | אמונות] כל הרע��ונות הטובים כבר הומצאו
- [נוקשות חשיבתית | חסרוני | אמונות] מקוריות היא אשליה
- [נוקשות חשיבתית | חסרוני | אמונות] בטוח יותר לחקות הצלחות קודמות
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] זה חייב להיות שונה מכל מה שנעשה
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] אם זה מזכיר משהו קיים, זה לא מספיק טוב
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] מקוריות היא הערך העליון
- [נוקשות חשיבתית | מוגזם | אמונות] ערך היצירה נמדד אך ורק במקוריותה
- [נוקשות חשיבתית | מוגזם | אמונות] להיות מובן זה להיות בנאלי
- [נוקשות חשיבתית | מוגזם | אמונות] חדשנות קיצונית היא המטרה היחידה
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אני עובד טוב רק לבד
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] אחרים רק יקלקלו את הרעיון שלי
- [נוקשות חשיבתית | חסרוני | דפוסי חשיבה] שיתוף פעולה זה בזבוז זמן
- [נוקשות חשיבתית | חסרוני | אמונות] יצירתיות אמיתית היא תמיד אישית
- [נוקשות חשיבתית | חסרוני | אמונות] שיתוף פעולה מדלל את האיכות
- [נוקשות חשיבתית | חסרוני | אמונות] הרעיונות הטובים ביותר באים מאדם יחיד
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] אני לא יכול ליצור בלי קבוצה
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] צריך לדעת מה כולם חושבים לפני שממשיכים
- [נוקשות חשיבתית | מוגזם | דפוסי חשיבה] הסכמה קבוצתית חיונית לכל צעד
- [נוקשות חשיבתית | מוגזם | אמונות] יצירתיות אישית פחות ערך מקבוצתית
- [נוקשות חשיבתית | מוגזם | אמונות] הפרט לא יכול לייצר ערך לבד
- [נוקשות חשיבתית | מוגזם | אמונות] הסכמה קבוצתית חשובה יותר מחדשנות
- [נוקשות חשיבתית | חסרוני | התנהגויות] דבקות בשיטות ישנות גם כשאינן יעילות
- [נוקשות חשיבתית | חסרוני | התנהגויות] התנגדות אוטומטית לשינויים
- [נוקשות חשיבתית | חסרוני | התנהגויות] חזרה על אותן טעויות
- [נוקשות חשיבתית | מוגזם | התנהגויות] קפיצה מרעיון לרעיון ללא השלמה
- [נוקשות חשיבתית | מוגזם | התנהגויות] שינוי תכוף של תוכניות ללא סיבה
- [נוקשות חשיבתית | מוגזם | התנהגויות] אימוץ גישות סותרות
- [נוקשות חשיבתית | חסרוני | התנהגויות] העדפת שיטות מוכרות בלבד
- [נוקשות חשיבתית | חסרוני | התנהגויות] קושי בתיאור חזון עתידי
- [נוקשות חשיבתית | חסרוני | התנהגויות] הימנעות מפעילויות יצירתיות
- [נוקשות חשיבתית | מוגזם | התנהגויות] הצעת פתרונות בלתי מעשיים
- [נוקשות חשיבתית | מוגזם | התנהגויות] התעלמות מוחלטת מאילוצי תקציב וזמן
- [נוקשות חשיבתית | מוגזם | התנהגויות] התמקדות בחזון ללא פעולה
- [נוקשות חשיבתית | חסרוני | התנהגויות] דחיית הצעות לשיפור ללא בחינה
- [נוקשות חשיבתית | חסרוני | התנהגויות] הימנעות מלמידת כלים וטכניקות חדשות
- [נוקשות חשיבתית | חסרוני | התנהגויות] העדפת פתרונות ישנים גם כשאינם אופטימליים
- [נוקשות חשיבתית | מוגזם | התנהגויות] שינויים תכופים ללא בדיקת השפעה
- [נוקשות חשיבתית | מוגזם | התנהגויות] אימוץ טכנולוגיות חדשות לפני שבשלו
- [נוקשות חשיבתית | מוגזם | התנהגויות] זניחת פתרונות יעילים רק כי הם ישנים
- [נוקשות חשיבתית | חסרוני | התנהגויות] יישום אוטומטי של פתרונות קודמים
- [נוקשות חשיבתית | חסרוני | התנהגויות] הימנעות מאתגרים לא מוכרים
- [נוקשות חשיבתית | חסרוני | התנהגויות] ויתור מהיר על בעיות לא שגרתיות
- [נוקשות חשיבתית | מוגזם | התנהגויות] תכנון מערכות מסובכות מדי
- [נוקשות חשיבתית | מוגזם | התנהגויות] התעקשות על חדשנות גם במקרים לא נחוצים
- [נוקשות חשיבתית | מוגזם | התנהגויות] הימנעות ממסלולים ישירים לפתרון
- [נוקשות חשיבתית | חסרוני | התנהגויות] הימנעות מלמידת תחומים חדשים
- [נוקשות חשיבתית | חסרוני | התנהגויות] דחיית רעיונות מתחומים אחרים
- [נוקשות חשיבתית | חסרוני | התנהגויות] התבצרות בתחום מומחיות צר
- [נוקשות חשיבתית | מוגזם | התנהגויות] קפיצה מנושא לנושא
- [נוקשות חשיבתית | מוגזם | התנהגויות] אימוץ שטחי של רעיונות רבים
- [נוקשות חשיבתית | מוגזם | התנהגויות] התחלת פרויקטים רבים ללא השלמתם
- [נוקשות חשיבתית | חסרוני | התנהגויות] הימנעות מהבעת רעיונות חדשניים
- [נוקשות חשיבתית | חסרוני | התנהגויות] הצגת רעיונות רק בצורה מרומזת ומתנצלת
- [נוקשות חשיבתית | חסרוני | התנהגויות] ויתור מהיר על חדשנות מול התנגדות
- [נוקשות חשיבתית | מוגזם | התנהגויות] דחיפת שינויים קיצוניים ללא הכנה
- [נוקשות חשיבתית | מוגזם | התנהגויות] התעלמות מהתנגדויות לגיטימיות
- [נוקשות חשיבתית | מוגזם | התנהגויות] זלזול במגבלות מעשיות
- [נוקשות חשיבתית | חסרוני | התנהגויות] העתקה ישירה של עבודות אחרים
- [נוקשות חשיבתית | חסרוני | התנהגויות] חיקוי סגנונות מקובלים
- [נוקשות חשיבתית | חסרוני | התנהגויות] הימנעות מלהביע זווית אישית
- [נוקשות חשיבתית | מוגזם | התנהגויות] שינוי מכוון של רעיונות טובים רק כדי להיות שונה
- [נוקשות חשיבתית | מוגזם | התנהגויות] דחיית גישות מוכחות
- [נוקשות חשיבתית | מוגזם | התנהגויות] יצירת מורכבות מיותרת לשם ייחודיות
- [נוקשות חשיבתית | חסרוני | התנהגויות] הימנעות מחשיפת רעיונות בשלבים מוקדמים
- [נוקשות חשיבתית | חסרוני | התנהגויות] דחיית הצעות שיפור
- [נוקשות חשיבתית | חסרוני | התנהגויות] עבודה מבודדת גם כשאינה יעילה
- [נוקשות חשיבתית | מוגזם | התנהגויות] בקשת אישור מתמדת
- [נוקשות חשיבתית | מוגזם | התנהגויות] קושי לקבל החלטות יצירתיות לבד
- [נוקשות חשיבתית | מוגזם | התנהגויות] ויתור על רעיונות אישיים לטובת קונצנזוס
