BEZEN | הומור | משפטים טעונים (חסרוני+מוגזם)
- [כללי | לא-מסווג | דפוסי חשיבה] אני נמנע מהבעת הומור בסיטואציות חברתיות, מה שעלול ליצור אווירה חמורה מדי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני לא משתף בדיחות או סיפורי צחוק, גם כאשר זה יכול להקל על המצב.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתנהל בצורה רצינית עד כדי כך שהעדר ההומור משפיע על הקשר עם הסובבים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שלרוב המצבים דורשים גישה רצינית ולא משעשעת, גם אם זה מפספס אפשרויות להקלה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהומור הוא עניין משני, שאינו תורם להתמודדות עם בעיות אמיתיות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שלא כל מצב ראוי להתבדחות או להומור, ולכן אני נמנע ממנו במידה רבה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שכל מצב ניתן להתמודדות בהומור, גם כאשר נדרשת גישה רצינית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהומור הוא פתרון לכל קושי, מה שעלול לגרום לי להתעלם מהמשמעויות העמוקות של המציאות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתייחס לכל נושא כמשהו שניתן לצחוק עליו, גם כאשר זה לא תמיד הולם.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה התלהבות מוגזמת מהומור, עד כדי כך שמאבד את יכולתו להתאים למצב.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש לעיתים אושר מופקד שמסתיר את הצורך בהבעה של רגשות אמיתיים במצבים רציניים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה לחץ פנימי להמשיך ולהתבדח גם כאשר אחרים זקוקים לתמיכה או לרצינות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להבע את עצמי בהומור באופן קבוע, גם כאשר נדרש זמן למחשבה רצינית או לעיבוד מצבים רגישים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתבדח בצורה שעשויה לפגוע ברגשות של אחרים או להיראות כאילו אני מתעלם מהמציאות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני משתמש בהומור כהגנה מפני בעיות או קונפליקטים, מה שעלול להוביל להתעלמות מהנושאים החשובים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהומור הוא הכלי העיקרי להתמודדות עם אתגרים, גם אם זה על חשבון התעמקות במציאות.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שהבעת הומור בכל מצב היא סימן לחוזק פנימי, גם כאשר זה מוביל להתנהגות לא מותאמת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהכל צריך להיות מצחיק, מה שעלול לגרום לי להתעלם מהצורך בגיוון רגשי ובהבעת כנות.
