BEZEN | תכונות החיוניות | משפטים טעונים (חסרוני+מוגזם)
- [אדישות | מוגזם | דפוסי חשיבה] אני חייב לחוות כל רגע במלואו
- [אדישות | מוגזם | דפוסי חשיבה] כל פרט הוא קריטי
- [אדישות | מוגזם | דפוסי חשיבה] אסור לפספס שום דבר
- [אדישות | מוגזם | אמונות] כל רגע חייב להיות משמעותי
- [אדישות | מוגזם | אמונות] פספוס של פרט הוא כישלון
- [אדישות | מוגזם | אמונות] החיים דורשים ערנות מוחלטת
- [אדישות | חסרוני | דפוסי חשיבה] הגוף הוא רק מכונה
- [אדישות | חסרוני | דפוסי חשיבה] אין לי זמן לדאוג לבריאות
- [אדישות | חסרוני | דפוסי חשיבה] זה לא כזה חשוב
- [אדישות | חסרוני | אמונות] הגוף פחות חשוב מהתודעה
- [אדישות | חסרוני | אמונות] בריאות היא עניין של מזל
- [אדישות | חסרוני | אמונות] אפשר לדחוף את הגוף לקצה
- [אדישות | מוגזם | דפוסי חשיבה] הכל חייב להיות מושלם
- [אדישות | מוגזם | דפוסי חשיבה] כל סטייה היא אסון
- [אדישות | מוגזם | דפוסי חשיבה] הגוף צריך להיות ללא רבב
- [אדישות | מוגזם | אמונות] בריאות מושלמת היא הכל
- [אדישות | מוגזם | אמונות] פגם גופני הוא כישלון מוסרי
- [אדישות | מוגזם | אמונות] שליטה מוחלטת בגוף אפשרית ונדרשת
- [אדישות | חסרוני | דפוסי חשיבה] כך תמיד עשינו
- [אדישות | חסרוני | דפוסי חשיבה] שינויים הם מסוכנים
- [אדישות | חסרוני | דפוסי חשיבה] אני צריך ודאות מוחלטת
- [אדישות | חסרוני | אמונות] יציבות היא המפתח לביטחון
- [אדישות | חסרוני | אמונות] שינוי תמיד מסוכן
- [אדישות | חסרוני | אמונות] אין טעם לשנות מה שעובד
- [אדישות | מוגזם | דפוסי חשיבה] תמיד צריך לשנות הכל
- [אדישות | מוגזם | דפוסי חשיבה] שגרה היא כלא
- [אדישות | מוגזם | דפוסי חשיבה] החדש תמיד עדיף
- [אדישות | מוגזם | אמונות] קביעות היא מוות
- [אדישות | מוגזם | אמונות] רק חידוש מתמיד מביא חיים
- [אדישות | מוגזם | אמונות] מחויבות היא מלכודת
- [אדישות | חסרוני | דפוסי חשיבה] עדיף לי לבד
- [אדישות | חסרוני | דפוסי חשיבה] אנשים רק פוגעים
- [אדישות | חסרוני | דפוסי חשיבה] אין לי מה לתרום
- [אדישות | חסרוני | אמונות] קשרים הם בעיקר כואבים
- [אדישות | חסרוני | אמונות] אני לא שייך לשום מקום
- [אדישות | חסרוני | אמונות] אנשים לא באמת אכפתיים
- [אדישות | מוגזם | דפוסי חשיבה] אני לא יכול להיות לבד
- [אדישות | מוגזם | דפוסי חשיבה] אני חייב אישור מאחרים
- [אדישות | מוגזם | דפוסי חשיבה] אני מפחד להחמיץ משהו
- [אדישות | מוגזם | אמונות] ערך עצמי תלוי בפופולריות
- [אדישות | מוגזם | אמונות] להיות לבד זה נורא
- [אדישות | מוגזם | אמונות] חיים טובים הם חיים בקבוצה
- [אדישות | חסרוני | דפוסי חשיבה] אין לי שום רעיונות
- [אדישות | חסרוני | דפוסי חשיבה] אני לא יצירתי
- [אדישות | חסרוני | דפוסי חשיבה] אין טעם לנסות ליצור משהו
- [אדישות | חסרוני | אמונות] יצירתיות היא תכונה מולדת נדירה
- [אדישות | חסרוני | אמונות] יצירה היא בזבוז זמן
- [אדישות | מוגזם | דפוסי חשיבה] אני חייב ליצור כל הזמן
- [אדישות | מוגזם | דפוסי חשיבה] אם לא אצור אני לא שווה
- [אדישות | מוגזם | דפוסי חשיבה] כל דבר חייב להיות יצירה מושלמת
- [אדישות | מוגזם | אמונות] ערכי נמדד במה שאני יוצר
- [אדישות | מוגזם | אמונות] מנוחה היא בגידה ביצירתיות
- [אדישות | מוגזם | אמונות] תמיד צריך לשאוף למושלמות
- [אדישות | חסרוני | התנהגויות] הימנעות ממעורבות
- [אדישות | חסרוני | התנהגויות] פסיביות
- [אדישות | חסרוני | התנהגויות] זלזול בהתלהבות של אחרים
- [אדישות | מוגזם | התנהגויות] קפיצה בין התלהבויות
- [אדישות | מוגזם | התנהגויות] הפרזה בתגובות
- [אדישות | מוגזם | התנהגויות] חוסר יכולת להישאר ממוקד
- [אדישות | חסרוני | התנהגויות] דחיינות כרונית
- [אדישות | חסרוני | התנהגויות] ויתור מהיר
- [אדישות | חסרוני | התנהגויות] הימנעות ממאמץ
- [אדישות | מוגזם | התנהגויות] עבודת יתר
- [אדישות | מוגזם | התנהגויות] התעלמות מסימני עייפות
- [אדישות | מוגזם | התנהגויות] פעילות בלתי פוסקת
- [אדישות | חסרוני | התנהגויות] התמקדות בשלילי
- [אדישות | חסרוני | התנהגויות] הימנעות מאירועים שמחים
- [אדישות | חסרוני | התנהגויות] ציניות כלפי שמחה
- [אדישות | מוגזם | התנהגויות] התעלמות מבעיות
- [אדישות | מוגזם | התנהגויות] הדחקת כאב
- [אדישות | מוגזם | התנהגויות] חיוך מאולץ
- [אדישות | חסרוני | התנהגויות] התעסקות במסכים
- [אדישות | חסרוני | התנהגויות] חוסר תשומת לב
- [אדישות | חסרוני | התנהגויות] פעולות אוטומטיות
- [אדישות | מוגזם | התנהגויות] ניתוח אובססיבי של חוויות
- [אדישות | מוגזם | התנהגויות] קושי להרפות
- [אדישות | מוגזם | התנהגויות] אי-יכולת לסנן גירויים
- [אדישות | חסרוני | התנהגויות] חוסר פעילות גופנית
- [אדישות | חסרוני | התנהגויות] הזנחת תזונה
- [אדישות | חסרוני | התנהגויות] דחיית טיפול רפואי
- [אדישות | מוגזם | התנהגויות] אימון יתר
- [אדישות | מוגזם | התנהגויות] משטרי תזונה קיצוניים
- [אדישות | מוגזם | התנהגויות] מדידה אובססיבית של מדדים
- [אדישות | חסרוני | התנהגויות] הימנעות מהתנסויות חדשות
- [אדישות | חסרוני | התנהגויות] דבקות בשגרה נוקשה
- [אדישות | חסרוני | התנהגויות] התעקשות על דרך אחת
- [אדישות | מוגזם | התנהגויות] החלפת כיוון תדירה
- [אדישות | מוגזם | התנהגויות] התחלות חדשות בלי סיום
- [אדישות | מוגזם | התנהגויות] זניחת פרויקטים ויחסים
- [אדישות | חסרוני | התנהגויות] הימנעות ממפגשים חברתיים
- [אדישות | חסרוני | התנהגויות] פסיביות בקבוצות
- [אדישות | חסרוני | התנהגויות] הסתגרות
- [אדישות | מוגזם | התנהגויות] מילוי היומן בפגישות
- [אדישות | מוגזם | התנהגויות] ויתור על צרכים עצמיים
- [אדישות | מוגזם | התנהגויות] בדיקה אובססיבית של רשתות חברתיות
- [אדישות | חסרוני | התנהגויות] הימנעות מביטוי עצמי
- [אדישות | חסרוני | התנהגויות] התייחסות צינית ליצירתיות
- [אדישות | חסרוני | התנהגויות] ויתור מהיר על פרויקטים
- [אדישות | מוגזם | התנהגויות] עבודה כפייתית על יצירות
- [אדישות | מוגזם | התנהגויות] הזנחת צרכים בסיסיים למען היצירה
- [אדישות | מוגזם | התנהגויות] אי-יכולת לסיים פרויקטים
