BEZEN | אומץ | משפטים טעונים (חסרוני+מוגזם)
- [פחדנות | חסרוני | דפוסי חשיבה] כך תמיד עשינו את זה
- [פחדנות | חסרוני | דפוסי חשיבה] חדשנות היא מסוכנת
- [פחדנות | מוגזם | דפוסי חשיבה] אסור לעשות דברים כמו כולם
- [פחדנות | מוגזם | דפוסי חשיבה] חדשנות בכל מחיר
- [פחדנות | מוגזם | דפוסי חשיבה] מקוריות היא הערך העליון
- [פחדנות | חסרוני | דפוסי חשיבה] עדיף לא להרגיש יותר מדי
- [פחדנות | חסרוני | דפוסי חשיבה] רגשות הם סימן לחולשה
- [פחדנות | חסרוני | דפוסי חשיבה] אי אפשר לסמוך על אחרים
- [פחדנות | מוגזם | דפוסי חשיבה] חייבים לבטא כל רגש בעוצמה מלאה
- [פחדנות | מוגזם | דפוסי חשיבה] אין טעם בריסון רגשי
- [פחדנות | מוגזם | דפוסי חשיבה] כולם צריכים לדעת מה אני מרגיש
- [פחדנות | חסרוני | התנהגויות] הימנעות מאתגרים
- [פחדנות | חסרוני | התנהגויות] תירוצים ליציאה ממצבים מלחיצים
- [פחדנות | חסרוני | התנהגויות] הסתמכות על אחרים לפתרון בעיות
- [פחדנות | חסרוני | התנהגויות] אמונות מגבילות:
- [פחדנות | חסרוני | התנהגויות] העולם מסוכן מדי
- [פחדנות | חסרוני | התנהגויות] אני לא מסוגל להתמודד
- [פחדנות | חסרוני | התנהגויות] עדיף תמיד לבחור בבטוח
- [פחדנות | חסרוני | התנהגויות] חסמים:
- [פחדנות | חסרוני | התנהגויות] צמצום הדרגתי של מרחב החיים
- [פחדנות | חסרוני | התנהגויות] החמצת הזדמנויות
- [פחדנות | חסרוני | התנהגויות] תלות גוברת באחרים
- [פחדנות | חסרוני | התנהגויות] אומץ לב
- [פחדנות | מוגזם | התנהגויות] התעלמות מאמצעי בטיחות
- [פחדנות | מוגזם | התנהגויות] החלטות מהירות ללא בחינה
- [פחדנות | מוגזם | התנהגויות] התרברבות בלקיחת סיכונים
- [פחדנות | מוגזם | התנהגויות] שום דבר רע לא יכול לקרות לי
- [פחדנות | מוגזם | התנהגויות] פחד הוא סימן לחולשה
- [פחדנות | מוגזם | התנהגויות] ככל שהסיכון גדול יותר, כך האתגר משמעותי יותר
- [פחדנות | מוגזם | התנהגויות] פציעות ופגיעות תכופות
- [פחדנות | מוגזם | התנהגויות] אובדן אמון מצד אחרים
- [פחדנות | מוגזם | התנהגויות] השלכות בלתי-צפויות חמורות
- [פחדנות | מוגזם | התנהגויות] 2עמידה על עקרונות
- [פחדנות | מוגזם | התנהגויות] היכולת להגן על ערכים ואמונות למרות לחץ חברתי או מחיר אישי, מתוך מחויבות פנימית
- [פחדנות | מוגזם | התנהגויות] קונפורמיות יתר
- [פחדנות | חסרוני | התנהגויות] הסכמה עם הרוב גם כשמתנגדים בפנים
- [פחדנות | חסרוני | התנהגויות] הימנעות מהבעת דעה
- [פחדנות | חסרוני | התנהגויות] התאמה מתמדת לציפיות אחרים
- [פחדנות | חסרוני | התנהגויות] שייכות חברתית חשובה מהכל
- [פחדנות | חסרוני | התנהגויות] עימותים תמיד שליליים
- [פחדנות | חסרוני | התנהגויות] אין טעם לעמוד לבד
- [פחדנות | חסרוני | התנהגויות] אובדן זהות אותנטית
- [פחדנות | חסרוני | התנהגויות] כעס מודחק
- [פחדנות | חסרוני | התנהגויות] אי-יכולת לשנות מציאות בעייתית
- [פחדנות | חסרוני | התנהגויות] עמידה על עקרונות
- [פחדנות | מוגזם | התנהגויות] כפיית עמדות על אחרים
- [פחדנות | מוגזם | התנהגויות] שיפוטיות קשה
- [פחדנות | מוגזם | התנהגויות] הקרבת יחסים על מזבח עקרונות
- [פחדנות | מוגזם | התנהגויות] פשרה היא סימן לחולשה מוסרית
- [פחדנות | מוגזם | התנהגויות] מורכבות היא תירוץ
- [פחדנות | מוגזם | התנהגויות] ראיית העולם שלי היא הנכונה היחידה
- [פחדנות | מוגזם | התנהגויות] בידוד חברתי
- [פחדנות | מוגזם | התנהגויות] אובדן היכולת להשפיע
- [פחדנות | מוגזם | התנהגויות] החמצת מורכבות אנושית
- [פחדנות | מוגזם | התנהגויות] 3יושר אינטלקטואלי
- [פחדנות | מוגזם | התנהגויות] היכולת להתמודד עם אמיתות לא נוחות ולשנות עמדות לאור ראיות חדשות, גם כשזה מאתגר את האמונות הקיימות
- [פחדנות | מוגזם | התנהגויות] סגירות מחשבתית
- [פחדנות | חסרוני | התנהגויות] סינון מידע שתומך בעמדות בלבד
- [פחדנות | חסרוני | התנהגויות] התעלמות משיחות מאתגרות
- [פחדנות | חסרוני | התנהגויות] הימנעות ממפגש עם דעות שונות
- [פחדנות | חסרוני | התנהגויות] יציבות חשובה יותר מדיוק
- [פחדנות | חסרוני | התנהגויות] שינוי דעה הוא חולשה
- [פחדנות | חסרוני | התנהגויות] ספק הוא איום
- [פחדנות | חסרוני | התנהגויות] התקבעות בטעויות
- [פחדנות | חסרוני | התנהגויות] פער גדל בין תפיסה למציאות
- [פחדנות | חסרוני | התנהגויות] החמצת הזדמנויות ללמידה
- [פחדנות | חסרוני | התנהגויות] יושר אינטלקטואלי
- [פחדנות | מוגזם | התנהגויות] הימנעות מקבלת החלטות
- [פחדנות | מוגזם | התנהגויות] חיפוש אינסופי של עוד מידע
- [פחדנות | מוגזם | התנהגויות] ערעור על כל קביעה
- [פחדנות | מוגזם | התנהגויות] כל אמונה היא בהכרח זמנית
- [פחדנות | מוגזם | התנהגויות] ודאות היא אשליה
- [פחדנות | מוגזם | התנהגויות] רק ספק הוא אמיתי
- [פחדנות | מוגזם | התנהגויות] שיתוק מחשבתי
- [פחדנות | מוגזם | התנהגויות] חוסר יכולת להתקדם
- [פחדנות | מוגזם | התנהגויות] אובדן יכולת לפעולה אפקטיבית
- [פחדנות | מוגזם | התנהגויות] 4אומץ חברתי
- [פחדנות | מוגזם | התנהגויות] היכולת לעמוד על דעתך ולבטא את עצמך בסיטואציות חברתיות מאתגרות, תוך שמירה על כבוד הזולת
- [פחדנות | מוגזם | התנהגויות] פחד חברתי
- [פחדנות | חסרוני | התנהגויות] שתיקה במצבים של אי-הסכמה
- [פחדנות | חסרוני | התנהגויות] ויתור מיידי על צרכים אישיים
- [פחדנות | חסרוני | התנהגויות] הימנעות מעימותים בכל מחיר
- [פחדנות | חסרוני | התנהגויות] דעתי פחות חשובה משל אחרים
- [פחדנות | חסרוני | התנהגויות] דחייה תהיה בלתי נסבלת
- [פחדנות | חסרוני | התנהגויות] הרמוניה בכל מחיר
- [פחדנות | חסרוני | התנהגויות] ניצול על ידי אחרים
- [פחדנות | חסרוני | התנהגויות] צרכים לא מסופקים
- [פחדנות | חסרוני | התנהגויות] תסכול מצטבר
- [פחדנות | חסרוני | התנהגויות] אומץ חברתי
- [פחדנות | מוגזם | התנהגויות] התפרצויות
- [פחדנות | מוגזם | התנהגויות] הפרעה לאחרים
- [פחדנות | מוגזם | התנהגויות] כפיית דעות או רצונות
- [פחדנות | מוגזם | התנהגויות] עדיף להיות נוקשה מאשר חלש
- [פחדנות | מוגזם | התנהגויות] רגישות היא חיסרון
- [פחדנות | מוגזם | התנהגויות] לנצח בוויכוח חשוב יותר מהיחסים
- [פחדנות | מוגזם | התנהגויות] פגיעה ביחסים
- [פחדנות | מוגזם | התנהגויות] בידוד חברתי גובר
- [פחדנות | מוגזם | התנהגויות] תדמית שלילית
- [פחדנות | מוגזם | התנהגויות] 5התמודדות עם כישלון
- [פחדנות | מוגזם | התנהגויות] היכולת להתמודד עם כישלונות ודחיות, ללמוד מהם ולהמשיך הלאה מבלי לאבד ביטחון עצמי
- [פחדנות | מוגזם | התנהגויות] פגיעות יתר מכישלון
- [פחדנות | חסרוני | התנהגויות] הימנעות מניסיונות חדשים
- [פחדנות | חסרוני | התנהגויות] הסתרת כישלונות
- [פחדנות | חסרוני | התנהגויות] ויתור מוחלט אחרי אכזבה
- [פחדנות | חסרוני | התנהגויות] ערכי נקבע על פי ההצלחות שלי
- [פחדנות | חסרוני | התנהגויות] כישלון הוא אסון
- [פחדנות | חסרוני | התנהגויות] אנשים שופטים אותי לפי ביצועים
- [פחדנות | חסרוני | התנהגויות] צמצום חוויות והזדמנויות
- [פחדנות | חסרוני | התנהגויות] פגיעה קשה בדימוי העצמי
- [פחדנות | חסרוני | התנהגויות] התמודדות עם כישלון
- [פחדנות | מוגזם | התנהגויות] חזרה על אותן טעויות
- [פחדנות | מוגזם | התנהגויות] התעלמות ממשוב שלילי
- [פחדנות | מוגזם | התנהגויות] היעדר רפלקציה
- [פחדנות | מוגזם | התנהגויות] התוצאה לא משקפת את המאמץ
- [פחדנות | מוגזם | התנהגויות] למידה מכישלונות היא בזבוז זמן
- [פחדנות | מוגזם | התנהגויות] הצלחה היא עניין של מזל
- [פחדנות | מוגזם | התנהגויות] חוסר צמיחה והתפתחות
- [פחדנות | מוגזם | התנהגויות] כישלונות חוזרים
- [פחדנות | מוגזם | התנהגויות] אי-שיפור מיומנויות
- [פחדנות | מוגזם | התנהגויות] 6התמודדות עם חוסר ודאות
- [פחדנות | מוגזם | התנהגויות] היכולת לפעול ולתפקד באופן אפקטיבי במצבים של עמימות וחוסר בהירות, מבלי להיות משותק מחרדה
- [פחדנות | מוגזם | התנהגויות] פחד מחוסר ודאות
- [פחדנות | חסרוני | התנהגויות] הימנעות ממצבים חדשים
- [פחדנות | חסרוני | התנהגויות] תכנון אובססיבי
- [פחדנות | חסרוני | התנהגויות] דחיית החלטות בשל חרדה
- [פחדנות | חסרוני | התנהגויות] אי-ודאות היא סכנה
- [פחדנות | חסרוני | התנהגויות] צריך לדעת הכל מראש
- [פחדנות | חסרוני | התנהגויות] שינויים הם איום
- [פחדנות | חסרוני | התנהגויות] התמכרות לביטחון
- [פחדנות | חסרוני | התנהגויות] צמצום מתמיד של מרחב החיים
- [פחדנות | חסרוני | התנהגויות] התמודדות עם חוסר ודאות
- [פחדנות | מוגזם | התנהגויות] החלטות פזיזות
- [פחדנות | מוגזם | התנהגויות] לקיחת סיכונים לא מחושבים
- [פחדנות | מוגזם | התנהגויות] שינויים תכופים ללא הצדקה
- [פחדנות | מוגזם | התנהגויות] חשיבה מעמיקה היא בזבוז זמן
- [פחדנות | מוגזם | התנהגויות] אינטואיציה תמיד עדיפה על תכנון
- [פחדנות | מוגזם | התנהגויות] הכי טוב להתקדם בכל מחיר
- [פחדנות | מוגזם | התנהגויות] טעויות חמורות שניתן היה למנוע
- [פחדנות | מוגזם | התנהגויות] חוסר יציבות כרוני
- [פחדנות | מוגזם | התנהגויות] החמצת יתרונות של תכנון מוקדם
- [פחדנות | מוגזם | התנהגויות] 7אומץ יצירתי
- [פחדנות | מוגזם | התנהגויות] נכונות לחשוב מחוץ לקופסה, להביע רעיונות מקוריים ולהתנסות בדרכים חדשות למרות חשש מביקורת
- [פחדנות | מוגזם | התנהגויות] שמרנות יצירתית
- [פחדנות | חסרוני | התנהגויות] חיקוי במקום יצירה
- [פחדנות | חסרוני | התנהגויות] הימנעות מהבעת רעיונות מקוריים
- [פחדנות | חסרוני | התנהגויות] דבקות בנוסחאות מוכרות
- [פחדנות | חסרוני | התנהגויות] חדשנות היא סיכון מיותר
- [פחדנות | חסרוני | התנהגויות] הישארות בתלם היא הבטוחה ביותר
- [פחדנות | חסרוני | התנהגויות] מקוריות מזמינה ביקורת
- [פחדנות | חסרוני | התנהגויות] החמצת פוטנציאל יצירתי
- [פחדנות | חסרוני | התנהגויות] קיבעון מחשבתי
- [פחדנות | חסרוני | התנהגויות] היעדר חדשנות וצמיחה
- [פחדנות | חסרוני | התנהגויות] אומץ יצירתי
- [פחדנות | מוגזם | התנהגויות] שינוי קבוע של דרכי פעולה
- [פחדנות | מוגזם | התנהגויות] דחיית פתרונות פשוטים ויעילים
- [פחדנות | מוגזם | התנהגויות] מרדנות לשם מרדנות
- [פחדנות | מוגזם | התנהגויות] שגרה היא כישלון
- [פחדנות | מוגזם | התנהגויות] מקוריות חשובה יותר מאפקטיביות
- [פחדנות | מוגזם | התנהגויות] להיות דומה לאחרים זו בושה
- [פחדנות | מוגזם | התנהגויות] בזבוז משאבים על חדשנות מיותרת
- [פחדנות | מוגזם | התנהגויות] התעלמות מחוכמה מצטברת
- [פחדנות | מוגזם | התנהגויות] חוסר יציבות מתמשך
- [פחדנות | מוגזם | התנהגויות] 8אומץ רגשי
- [פחדנות | מוגזם | התנהגויות] היכולת להתחבר לרגשות, לבטא אותם באופן מותאם ולהיות פגיע במידה הנכונה במערכות יחסים
- [פחדנות | מוגזם | התנהגויות] חסימה רגשית
- [פחדנות | חסרוני | התנהגויות] הימנעות משיחות אישיות
- [פחדנות | חסרוני | התנהגויות] עצירת רגשות לפני שעולים
- [פחדנות | חסרוני | התנהגויות] מסכות חברתיות קבועות
- [פחדנות | חסרוני | התנהגויות] רגשות מסכנים את השליטה
- [פחדנות | חסרוני | התנהגויות] פגיעות היא חולשה
- [פחדנות | חסרוני | התנהגויות] עדיף להיות עצמאי לגמרי
- [פחדנות | חסרוני | התנהגויות] בדידות עמוקה
- [פחדנות | חסרוני | התנהגויות] דלות רגשית
- [פחדנות | חסרוני | התנהגויות] קשיים בזוגיות ובחברויות
- [פחדנות | חסרוני | התנהגויות] אומץ רגשי
- [פחדנות | מוגזם | התנהגויות] שיתוף אינטימי מוגזם עם זרים
- [פחדנות | מוגזם | התנהגויות] תנודות רגשיות קיצוניות
- [פחדנות | מוגזם | התנהגויות] דרישה מתמדת לתגובה רגשית מאחרים
- [פחדנות | מוגזם | התנהגויות] ריסון רגשי הוא לא אותנטי
- [פחדנות | מוגזם | התנהגויות] אחרים אחראים לרגשות שלי
- [פחדנות | מוגזם | התנהגויות] ככל שהביטוי חזק יותר כך הוא אמיתי יותר
- [פחדנות | מוגזם | התנהגויות] הכבדה על מערכות יחסים
- [פחדנות | מוגזם | התנהגויות] גבולות פגיעים
- [פחדנות | מוגזם | התנהגויות] אובדן אמינות
