BEZEN | פרספקטיבה | משפטים טעונים (חסרוני+מוגזם)
- [צרות אופקים | מוגזם | אמונות] ודאות היא בלתי אפשרית לחלוטין
- [צרות אופקים | חסרוני | דפוסי חשיבה] זה לא קשור לנושא שלנו
- [צרות אופקים | חסרוני | דפוסי חשיבה] זה תחום אחר לגמרי
- [צרות אופקים | חסרוני | דפוסי חשיבה] צריך להתמקד רק במה שממש רלוונטי
- [צרות אופקים | חסרוני | אמונות] כל תחום צריך להישאר מבודד
- [צרות אופקים | חסרוני | אמונות] מומחיות משמעה התמקדות צרה
- [צרות אופקים | חסרוני | אמונות] רוחב יבוא על חשבון עומק
- [צרות אופקים | מוגזם | דפוסי חשיבה] הכל קשור לכל
- [צרות אופקים | מוגזם | דפוסי חשיבה] אין מקריות, רק תבניות שעדיין לא זיהינו
- [צרות אופקים | מוגזם | דפוסי חשיבה] יש כאן חיבור עמוק שאחרים לא רואים
- [צרות אופקים | מוגזם | אמונות] אין דבר כזה צירוף מקרים
- [צרות אופקים | מוגזם | אמונות] רק מי שרואה את כל הקשרים מבין באמת
- [צרות אופקים | מוגזם | אמונות] פשטות היא אשליה
- [צרות אופקים | חסרוני | דפוסי חשיבה] יש רק דרך נכונה אחת
- [צרות אופקים | חסרוני | דפוסי חשיבה] זה נכון בכל מקום ובכל זמן
- [צרות אופקים | חסרוני | דפוסי חשיבה] אותם כללים חלים על כולם באותה מידה
- [צרות אופקים | חסרוני | אמונות] האמת היא אוניברסלית ואחידה
- [צרות אופקים | חסרוני | אמונות] הקשר הוא רק תירוץ
- [צרות אופקים | חסרוני | אמונות] יחסיות ערכית היא חולשה
- [צרות אופקים | מוגזם | דפוסי חשיבה] אי אפשר להשוות בכלל
- [צרות אופקים | מוגזם | דפוסי חשיבה] הכל תקף בהקשר שלו
- [צרות אופקים | מוגזם | דפוסי חשיבה] אין לנו זכות לשפוט שום דבר משום הקשר אחר
- [צרות אופקים | מוגזם | אמונות] אין שום אמת מידה משותפת לאנושות
- [צרות אופקים | מוגזם | אמונות] כל הקשר הוא עולם סגור לחלוטין
- [צרות אופקים | מוגזם | אמונות] כל שיפוט הוא אתנוצנטרי בהכרח
- [צרות אופקים | חסרוני | דפוסי חשיבה] ההיסטוריה לא רלוונטית למצב היום
- [צרות אופקים | חסרוני | דפוסי חשיבה] העבר הוא סתם דברים ישנים
- [צרות אופקים | חסרוני | דפוסי חשיבה] מה שחשוב זה רק העכשיו
- [צרות אופקים | חסרוני | אמונות] העבר אינו רלוונטי לאתגרי ההווה
- [צרות אופקים | חסרוני | אמונות] אנחנו חיים בעידן שונה לחלוטין
- [צרות אופקים | חסרוני | אמונות] כל שינוי הוא התקדמות
- [צרות אופקים | מוגזם | דפוסי חשיבה] ההיסטוריה תמיד חוזרת
- [צרות אופקים | מוגזם | דפוסי חשיבה] אין טעם להתנגד למגמות היסטוריות
- [צרות אופקים | מוגזם | דפוסי חשיבה] הכל נקבע כבר לפני דורות
- [צרות אופקים | מוגזם | אמונות] ההיסטוריה היא כוח בלתי נשלט
- [צרות אופקים | מוגזם | אמונות] דפוסים היסטוריים בלתי נמנעים
- [צרות אופקים | מוגזם | אמונות] החדש הוא רק מחזור של הישן
- [צרות אופקים | חסרוני | דפוסי חשיבה] אני לא מבין איך אפשר לחשוב ככה
- [צרות אופקים | חסרוני | דפוסי חשיבה] זה פשוט לא הגיוני
- [צרות אופקים | חסרוני | דפוסי חשיבה] אם היו חושבים נכון היו מגיעים למסקנה שלי
- [צרות אופקים | חסרוני | אמונות] יש רק דרך הגיונית אחת לראות את העולם
- [צרות אופקים | חסרוני | אמונות] מי שחושב אחרת פשוט טועה
- [צרות אופקים | חסרוני | אמונות] אמפטיה היא חולשה
- [צרות אופקים | מוגזם | דפוסי חשיבה] אין לי דעה משלי על זה
- [צרות אופקים | מוגזם | דפוסי חשיבה] אני תמיד מבין את כולם עד שאני לא יודע מה אני חושב
- [צרות אופקים | מוגזם | דפוסי חשיבה] כל הדעות נכונות באותה מידה
- [צרות אופקים | מוגזם | אמונות] אין לי זכות לדעה נפרדת
- [צרות אופקים | מוגזם | אמונות] הסתגלות מוחלטת לאחרים היא ערך עליון
- [צרות אופקים | מוגזם | אמונות] כל התנגדות היא חוסר אמפטיה
- [צרות אופקים | חסרוני | דפוסי חשיבה] בוא ניכנס לעניינים ונפסיק לדבר
- [צרות אופקים | חסרוני | דפוסי חשיבה] פילוסופיה היא בזבוז זמן
- [צרות אופקים | חסרוני | דפוסי חשיבה] רק התוצאות מדברות, כל השאר זה דיבורים
- [צרות אופקים | חסרוני | אמונות] אם זה לא מביא תוצאות מיידיות, זה חסר ערך
- [צרות אופקים | חסרוני | אמונות] מחשבה עמוקה היא מותרות
- [צרות אופקים | חסרוני | אמונות] עקרונות הם רק תירוצים לאי-עשייה
- [צרות אופקים | מוגזם | דפוסי חשיבה] אי אפשר לפעול עד שנבין את כל ההיבטים הפילוסופיים
- [צרות אופקים | מוגזם | דפוסי חשיבה] המעשה הוא משני לרעיון הטהור
- [צרות אופקים | מוגזם | דפוסי חשיבה] המשמעות העמוקה חשובה יותר מהתוצאות
- [צרות אופקים | מוגזם | אמונות] רק מה שטהור ומופשט הוא בעל ערך אמיתי
- [צרות אופקים | מוגזם | אמונות] המעשי הוא תמיד פשרה מצערת
- [צרות אופקים | מוגזם | אמונות] הפילוסופיה היא מטרה בפני עצמה
- [צרות אופקים | חסרוני | התנהגויות] התמקדות בפתרונות מיידיים בלבד
- [צרות אופקים | חסרוני | התנהגויות] התעלמות מהשלכות עתידיות
- [צרות אופקים | חסרוני | התנהגויות] סירוב לשקול השפעות עקיפות
- [צרות אופקים | מוגזם | התנהגויות] דיבור בהכללות רחבות ומופשטות
- [צרות אופקים | מוגזם | התנהגויות] התעלמות מיישום מעשי
- [צרות אופקים | מוגזם | התנהגויות] הימנעות מבדיקת פרטים
- [צרות אופקים | חסרוני | התנהגויות] פתרון בעיות נקודתי ללא ראיית ההקשר
- [צרות אופקים | חסרוני | התנהגויות] התעלמות מתוצאות לא מכוונות
- [צרות אופקים | חסרוני | התנהגויות] הפרדה מלאכותית בין נושאים קשורים
- [צרות אופקים | מוגזם | התנהגויות] ניתוח אינסופי ללא מעבר לפעולה
- [צרות אופקים | מוגזם | התנהגויות] מיפוי קשרים שאינם רלוונטיים למטרה
- [צרות אופקים | מוגזם | התנהגויות] הימנעות מקבלת החלטות
- [צרות אופקים | חסרוני | התנהגויות] קבלה פסיבית של מידע
- [צרות אופקים | חסרוני | התנהגויות] הימנעות מלשאול שאלות קשות
- [צרות אופקים | חסרוני | התנהגויות] ציטוט מידע ללא בדיקת אמינותו
- [צרות אופקים | מוגזם | התנהגויות] דרישה לראיות בלתי אפשריות
- [צרות אופקים | מוגזם | התנהגויות] ערעור אינסופי על כל נקודה
- [צרות אופקים | מוגזם | התנהגויות] סירוב לקבל מסקנות מבוססות
- [צרות אופקים | חסרוני | התנהגויות] התמקדות בתחום ידע יחיד
- [צרות אופקים | חסרוני | התנהגויות] התעלמות ממידע מתחומים אחרים
- [צרות אופקים | חסרוני | התנהגויות] דחיית רעיונות בין-תחומיים
- [צרות אופקים | מוגזם | התנהגויות] יצירת תיאוריות מורכבות מראיות דלות
- [צרות אופקים | מוגזם | התנהגויות] התעלמות ממידע סותר
- [צרות אופקים | מוגזם | התנהגויות] חיפוש אובססיבי אחר תבניות
- [צרות אופקים | חסרוני | התנהגויות] שיפוט מהיר ללא הבנת הנסיבות
- [צרות אופקים | חסרוני | התנהגויות] סירוב להתחשב בהבדלים תרבותיים
- [צרות אופקים | חסרוני | התנהגויות] החלת תקנים אחידים על מצבים שונים
- [צרות אופקים | מוגזם | התנהגויות] הימנעות מכל ביקורת או הערכה
- [צרות אופקים | מוגזם | התנהגויות] קבלה לא-ביקורתית של כל התנהגות בכל הקשר
- [צרות אופקים | מוגזם | התנהגויות] סירוב להכיר בערכים משותפים
- [צרות אופקים | חסרוני | התנהגויות] התעלמות מתקדימים היסטוריים
- [צרות אופקים | חסרוני | התנהגויות] שיפוט העבר לפי ערכי ההווה בלבד
- [צרות אופקים | חסרוני | התנהגויות] אימוץ פתרונות מיידיים ללא רקע
- [צרות אופקים | מוגזם | התנהגויות] הסתמכות מוגזמת על אנלוגיות היסטוריות
- [צרות אופקים | מוגזם | התנהגויות] ראיית דפוסים דטרמיניסטיים בכל
- [צרות אופקים | מוגזם | התנהגויות] ויתור על פעולה בשל 'גזירת הגורל'
- [צרות אופקים | חסרוני | התנהגויות] הפרעה לאחרים בזמן דיבור
- [צרות אופקים | חסרוני | התנהגויות] ביטול דעות אחרות ללא הקשבה
- [צרות אופקים | חסרוני | התנהגויות] הכללות על קבוצות שלמות
- [צרות אופקים | מוגזם | התנהגויות] אימוץ מוחלט של דעות אחרים
- [צרות אופקים | מוגזם | התנהגויות] הימנעות מכל עימות
- [צרות אופקים | מוגזם | התנהגויות] הסכמה עם הדובר האחרון
- [צרות אופקים | חסרוני | התנהגויות] דחיפה לפעולה מהירה ללא מחשבה
- [צרות אופקים | חסרוני | התנהגויות] הימנעות מדיונים על ערכים ומשמעות
- [צרות אופקים | חסרוני | התנהגויות] ביטול רעיונות שאין להם יישום מיידי
- [צרות אופקים | מוגזם | התנהגויות] דיונים אינסופיים ללא מסקנות מעשיות
- [צרות אופקים | מוגזם | התנהגויות] יצירת תיאוריות מורכבות שאינן ניתנות ליישום
- [צרות אופקים | מוגזם | התנהגויות] התחמקות מאחריות מעשית
