BEZEN | הכרת תודה | משפטים טעונים (חסרוני+מוגזם)
- [כללי | לא-מסווג | דפוסי חשיבה] אני נמנע מהבעת תודה לאנשים שעוזרים לי או תורמים להצלחותי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני לא מקפיד על מעגלים חברתיים שמקדמים אמירה של הכרת תודה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתעלם מהצורך להכיר ולהביע תודה גם במצבים שבהם היא יכולה לשפר מערכות יחסים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהדברים הטובים הם חלק מהשגרה ואינם מצדיקים הערכה מיוחדת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שאין מקום להקדיש זמן למחשבות על הכרת תודה כשיש מטרות מעשיות חשובות יותר.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהכרת תודה מיותרת עלולה להסיט את תשומת הלב מהאתגרים האמיתיים.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שעליי להודות בכל מצב, גם אם הדבר לא מעביר את התחושה האמיתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חושב שכל מחמאה וכל עזרה חייבת להתוגמל במידה מופרזת של תודה.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מתמקד בכל פרט קטן בצורה שעלולה להפוך את ההכרת תודה לטקס כפוי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חווה לחץ פנימי להראות תודה גם כאשר אינני מרגיש את זה באמת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני חש חרדה מחוסר ההבעת תודה, כאילו היא מדד להצלחה חברתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מרגיש חוסר נוחות כאשר לא מקבל תגובות דומות, מה שעלול להוביל לתסכול.
- [כללי | לא-מסווג | דפוסי חשיבה] אני נוטה להודות באופן אוטומטי ובכמויות גדולות, גם במצבים שבהם אין לכך צורך.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מפעיל את ההכרת תודה בצורה שעלולה להיראות כבלתי אותנטית או מזויפת.
- [כללי | לא-מסווג | דפוסי חשיבה] אני עשוי להשתמש בהכרת תודה ככלי לזכות באישור חברתי, במקום להרגיש אותה מתוך הלב.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהבעת תודה בכל מצב היא דרך להבטיח קבלה חברתית, גם אם היא אינה נובעת מהכרת תודה אמיתית.
- [כללי | לא-מסווג | דפוסי חשיבה] אני סבור שצריך להעריך כל פרט קטן, מה שעלול להפוך את ההכרת תודה למדד בלתי מציאותי.
- [כללי | לא-מסווג | דפוסי חשיבה] אני מאמין שהכרת תודה מוגזמת מסמלת רגישות יתר ופגיעה באותנטיות.
