BEZEN | פתיחות מחשבתית | משפטים טעונים (חסרוני+מוגזם)
- [סגירות מחשבתית | מוגזם | אמונות] כל פישוט הוא עיוות בלתי נסלח
- [סגירות מחשבתית | מוגזם | אמונות] רק הבנה מלאה מצדיקה פעולה
- [סגירות מחשבתית | מוגזם | אמונות] ודאות היא תנאי הכרחי לפעולה
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אני מעדיף להישאר עם מה שאני מכיר
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] חדש זה מסוכן
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] למה לשנות כשמה שיש עובד
- [סגירות מחשבתית | חסרוני | אמונות] המוכר הוא תמיד בטוח יותר
- [סגירות מחשבתית | חסרוני | אמונות] חדשנות היא סיכון מיותר
- [סגירות מחשבתית | חסרוני | אמונות] הרגלים קבועים הם מקור ליציבות
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] לא מוכן לעשות שום דבר פעמיים
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] החיים קצרים מכדי לחזור על חוויות
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] תמיד צריך משהו חדש ומרגש
- [סגירות מחשבתית | מוגזם | אמונות] רק החדש הוא בעל ערך
- [סגירות מחשבתית | מוגזם | אמונות] העמקה היא בזבוז זמן
- [סגירות מחשבתית | מוגזם | אמונות] חוויות הן למדידה בכמות, לא באיכות
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אני כבר יודע מספיק על זה
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] מומחים טועים כל הזמן
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אני מבין את זה יותר טוב מאחרים
- [סגירות מחשבתית | חסרוני | אמונות] האינטואיציה שלי עדיפה על מחקר
- [סגירות מחשבתית | חסרוני | אמונות] ניסיון אישי עולה על מומחיות
- [סגירות מחשבתית | חסרוני | אמונות] אם אני לא מבין משהו, הוא כנראה לא חשוב
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אני לעולם לא יודע מספיק כדי להביע דעה
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אחרים תמיד יודעים טוב יותר
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אני לא מספיק חכם להבין את זה
- [סגירות מחשבתית | מוגזם | אמונות] לדעתי אין ערך
- [סגירות מחשבתית | מוגזם | אמונות] רק בעלי תארים יכולים להבין באמת
- [סגירות מחשבתית | מוגזם | אמונות] אני תמיד טועה בשיפוט שלי
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] כן, כן, מה שתגיד
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אני כבר יודע מה אתה הולך להגיד
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] בסדר, אבל בוא נחזור לנושא האמיתי
- [סגירות מחשבתית | חסרוני | אמונות] לרוב האנשים אין דברים מעניינים להגיד
- [סגירות מחשבתית | חסרוני | אמונות] לנקודת המבט שלי יש עדיפות
- [סגירות מחשבתית | חסרוני | אמונות] הקשבה היא בזבוז זמן
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אני תמיד פה בשבילך בכל זמן
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] הצרכים שלך קודמים לשלי
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אני יכול להקשיב עוד שעות
- [סגירות מחשבתית | מוגזם | אמונות] תמיד עלי להיות זמין להקשבה
- [סגירות מחשבתית | מוגזם | אמונות] הצרכים שלי פחות חשובים
- [סגירות מחשבתית | מוגזם | אמונות] ערכי נמדד ביכולתי להקשיב לאחרים
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אני חייב לדעת את התשובה עכשיו
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אין מקום לאפור, רק שחור או לבן
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] בלי הוראות ברורות אי אפשר להתקדם
- [סגירות מחשבתית | חסרוני | אמונות] אי-ודאות היא תמיד שלילית
- [סגירות מחשבתית | חסרוני | אמונות] לכל שאלה יש תשובה פשוטה
- [סגירות מחשבתית | חסרוני | אמונות] עמימות היא סימן לחוסר מקצועיות
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אף פעם אי אפשר לדעת באמת
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] תמיד יש עוד שאלות
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אסור להגיע למסקנות נחרצות
- [סגירות מחשבתית | מוגזם | אמונות] כל הכרעה היא מלאכותית
- [סגירות מחשבתית | מוגזם | אמונות] רק עמימות היא אותנטית
- [סגירות מחשבתית | מוגזם | אמונות] החלטיות היא צרות אופקים
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אני תמיד אשאר כפי שאני
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] אני לא נותן לאחרים להשפיע עלי
- [סגירות מחשבתית | חסרוני | דפוסי חשיבה] שינוי הוא סימן לחולשה
- [סגירות מחשבתית | חסרוני | אמונות] אותנטיות פירושה להישאר זהה
- [סגירות מחשבתית | חסרוני | אמונות] השפעות חיצוניות הן איום
- [סגירות מחשבתית | חסרוני | אמונות] זהות אמיתית היא קבועה
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אני אהיה כל מה שתרצה שאהיה
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] כל השפעה חדשה משנה אותי לגמרי
- [סגירות מחשבתית | מוגזם | דפוסי חשיבה] אין לי אני אמיתי, רק השפעות
- [סגירות מחשבתית | מוגזם | אמונות] אין לי זהות פרט להשפעות חיצוניות
- [סגירות מחשבתית | מוגזם | אמונות] להיות מושפע תמיד עדיף
- [סגירות מחשבתית | מוגזם | אמונות] אין ערך לשימור עקביות כלשהי
- [סגירות מחשבתית | חסרוני | התנהגויות] קטיעת דוברים באמצע
- [סגירות מחשבתית | חסרוני | התנהגויות] סינון סלקטיבי של מידע תואם בלבד
- [סגירות מחשבתית | חסרוני | התנהגויות] התבצרות בעמדות קיימות
- [סגירות מחשבתית | מוגזם | התנהגויות] שינוי תכוף של דעות ללא בסיס
- [סגירות מחשבתית | מוגזם | התנהגויות] הימנעות מהבעת עמדה ברורה
- [סגירות מחשבתית | מוגזם | התנהגויות] חוסר יכולת להגן על רעיונות
- [סגירות מחשבתית | חסרוני | התנהגויות] דחיית ראיות סותרות
- [סגירות מחשבתית | חסרוני | התנהגויות] פירוש מעוות של עובדות לתמיכה באמונות קיימות
- [סגירות מחשבתית | חסרוני | התנהגויות] הימנעות מדיונים מאתגרים
- [סגירות מחשבתית | מוגזם | התנהגויות] שינוי עמדות באופן דרמטי וללא הצדקה
- [סגירות מחשבתית | מוגזם | התנהגויות] חוסר יכולת להתחייב לאמונות
- [סגירות מחשבתית | מוגזם | התנהגויות] ערעור אינסופי ללא מסקנות
- [סגירות מחשבתית | חסרוני | התנהגויות] קפיצה למסקנות מהירות
- [סגירות מחשבתית | חסרוני | התנהגויות] התעלמות מראיות סותרות
- [סגירות מחשבתית | חסרוני | התנהגויות] אימוץ הסברים פשטניים למצבים מורכבים
- [סגירות מחשבתית | מוגזם | התנהגויות] דחיינות מתמשכת בקבלת החלטות
- [סגירות מחשבתית | מוגזם | התנהגויות] ניתוח-יתר של כל היבט
- [סגירות מחשבתית | מוגזם | התנהגויות] הימנעות מפעולה בשל מורכבות
- [סגירות מחשבתית | חסרוני | התנהגויות] אכילת אותם מאכלים
- [סגירות מחשבתית | חסרוני | התנהגויות] ביקור באותם מקומות
- [סגירות מחשבתית | חסרוני | התנהגויות] הימנעות משינוי שגרה
- [סגירות מחשבתית | מוגזם | התנהגויות] החלפה תכופה של תחביבים
- [סגירות מחשבתית | מוגזם | התנהגויות] קושי להתמיד בפעילות
- [סגירות מחשבתית | מוגזם | התנהגויות] חיפוש אובססיבי אחר הריגוש הבא
- [סגירות מחשבתית | חסרוני | התנהגויות] התעלמות מעצות מקצועיות
- [סגירות מחשבתית | חסרוני | התנהגויות] הפרעה לאחרים בדיונים
- [סגירות מחשבתית | חסרוני | התנהגויות] טענות לידע ללא בסיס
- [סגירות מחשבתית | מוגזם | התנהגויות] הימנעות מהבעת דעה
- [סגירות מחשבתית | מוגזם | התנהגויות] הסתמכות מוחלטת על אחרים
- [סגירות מחשבתית | מוגזם | התנהגויות] התנצלות מתמדת על רמת הידע
- [סגירות מחשבתית | חסרוני | התנהגויות] הפרעה והתפרצות לדברי אחרים
- [סגירות מחשבתית | חסרוני | התנהגויות] הסטת השיחה לעצמי
- [סגירות מחשבתית | חסרוני | התנהגויות] עיסוק בטלפון במהלך שיחה
- [סגירות מחשבתית | מוגזם | התנהגויות] זניחת צרכים אישיים למען הקשבה
- [סגירות מחשבתית | מוגזם | התנהגויות] אי-הצבת גבולות בשיחה
- [סגירות מחשבתית | מוגזם | התנהגויות] אימוץ מוחלט של רגשות האחר
- [סגירות מחשבתית | חסרוני | התנהגויות] דרישה לתשובות מיידיות
- [סגירות מחשבתית | חסרוני | התנהגויות] הסקת מסקנות מהירה מדי
- [סגירות מחשבתית | חסרוני | התנהגויות] הימנעות ממצבים של חוסר ודאות
- [סגירות מחשבתית | מוגזם | התנהגויות] דחיינות כרונית
- [סגירות מחשבתית | מוגזם | התנהגויות] הימנעות מאחריות להחלטות
- [סגירות מחשבתית | מוגזם | התנהגויות] דיון אינסופי ללא הכרעה
- [סגירות מחשבתית | חסרוני | התנהגויות] דחיית ביקורת בונה
- [סגירות מחשבתית | חסרוני | התנהגויות] הימנעות ממפגש עם השפעות חדשות
- [סגירות מחשבתית | חסרוני | התנהגויות] הדגשת יתר של יציבות
- [סגירות מחשבתית | מוגזם | התנהגויות] שינויי אישיות קיצוניים בין הקשרים
- [סגירות מחשבתית | מוגזם | התנהגויות] חיקוי מוחלט של אחרים
- [סגירות מחשבתית | מוגזם | התנהגויות] אובדן עקביות פנימית
