BEZEN | התמדה | משפטים טעונים (חסרוני+מוגזם)
- [עצלנות | חסרוני | דפוסי חשיבה] אני רוצה תוצאות עכשיו
- [עצלנות | חסרוני | דפוסי חשיבה] זה לא אמור להיות כל כך קשה
- [עצלנות | מוגזם | דפוסי חשיבה] צריך לחכות לזמן הנכון
- [עצלנות | מוגזם | דפוסי חשיבה] אין טעם לדחוף
- [עצלנות | מוגזם | דפוסי חשיבה] דברים יקרו בזמנם
- [עצלנות | חסרוני | דפוסי חשיבה] אני לא טוב מספיק
- [עצלנות | חסרוני | דפוסי חשיבה] זה מוכיח שאף פעם לא אצליח
- [עצלנות | חסרוני | דפוסי חשיבה] אין טעם לנסות שוב
- [עצלנות | מוגזם | דפוסי חשיבה] לא אכפת לי אם אכשל
- [עצלנות | מוגזם | דפוסי חשיבה] כישלון הוא רק דעה של אחרים
- [עצלנות | מוגזם | דפוסי חשיבה] זה לא באמת משנה
- [עצלנות | חסרוני | התנהגויות] דחיינות
- [עצלנות | חסרוני | התנהגויות] חיפוש קיצורי דרך
- [עצלנות | חסרוני | התנהגויות] ויתור מהיר כשמתקשים
- [עצלנות | חסרוני | התנהגויות] אמונות מגבילות מגבילות:
- [עצלנות | חסרוני | התנהגויות] מאמץ הוא סבל שיש להימנע ממנו
- [עצלנות | חסרוני | התנהגויות] הצלחה צריכה לבוא בקלות
- [עצלנות | חסרוני | התנהגויות] לא שווה להתאמץ יותר מדי
- [עצלנות | חסרוני | התנהגויות] חסמים
- [עצלנות | חסרוני | התנהגויות] פספוס הזדמנויות
- [עצלנות | חסרוני | התנהגויות] הצטברות משימות לא גמורות
- [עצלנות | חסרוני | התנהגויות] כישורים לא מפותחים
- [עצלנות | חסרוני | התנהגויות] חריצות
- [עצלנות | מוגזם | התנהגויות] שעות עבודה מופרזות
- [עצלנות | מוגזם | התנהגויות] ויתור על זמן פנאי ומנוחה
- [עצלנות | מוגזם | התנהגויות] התעלמות מסימני עייפות ושחיקה
- [עצלנות | מוגזם | התנהגויות] אמונות מגבילות:
- [עצלנות | מוגזם | התנהגויות] ערך עצמי תלוי בהישגים בלבד
- [עצלנות | מוגזם | התנהגויות] מנוחה היא בזבוז זמן
- [עצלנות | מוגזם | התנהגויות] תמיד יש עוד מה לשפר
- [עצלנות | מוגזם | התנהגויות] שחיקה פיזית ונפשית
- [עצלנות | מוגזם | התנהגויות] פגיעה ביחסים אישיים
- [עצלנות | מוגזם | התנהגויות] ירידה באיכות התוצרים
- [עצלנות | מוגזם | התנהגויות] 2התמדה
- [עצלנות | מוגזם | התנהגויות] היכולת להמשיך במאמץ לאורך זמן למרות קשיים, מכשולים ואתגרים
- [עצלנות | מוגזם | התנהגויות] ויתור מהיר
- [עצלנות | חסרוני | התנהגויות] נטישת משימות לפני השלמתן
- [עצלנות | חסרוני | התנהגויות] החלפה תכופה של מטרות
- [עצלנות | חסרוני | התנהגויות] הימנעות ממשימות מאתגרות
- [עצלנות | חסרוני | התנהגויות] קושי הוא סימן שמשהו לא בסדר
- [עצלנות | חסרוני | התנהגויות] אם לא מצליח מיד, כנראה לא אצליח
- [עצלנות | חסרוני | התנהגויות] חוסר הזדמנות לצמיחה
- [עצלנות | חסרוני | התנהגויות] אי-פיתוח מיומנויות
- [עצלנות | חסרוני | התנהגויות] תבנית של אי-השלמת דברים
- [עצלנות | חסרוני | התנהגויות] התמדה
- [עצלנות | מוגזם | התנהגויות] המשך בדרך כושלת
- [עצלנות | מוגזם | התנהגויות] התעלמות ממשוב שלילי
- [עצלנות | מוגזם | התנהגויות] השקעת משאבים עצומים בפרויקטים כושלים
- [עצלנות | מוגזם | התנהגויות] לשנות כיוון זו הודאה בכישלון
- [עצלנות | מוגזם | התנהגויות] כל מכשול ניתן לפריצה בכוח
- [עצלנות | מוגזם | התנהגויות] התאמה היא סימן לחולשה
- [עצלנות | מוגזם | התנהגויות] אובדן הזדמנויות חדשות
- [עצלנות | מוגזם | התנהגויות] בזבוז משאבים
- [עצלנות | מוגזם | התנהגויות] תקיעות בדפוסים לא יעילים
- [עצלנות | מוגזם | התנהגויות] 3מיקוד מטרה
- [עצלנות | מוגזם | התנהגויות] היכולת להגדיר מטרות ברורות ולהתמיד בפעולות הנדרשות להשגתן תוך התמודדות עם הסחות
- [עצלנות | מוגזם | התנהגויות] פיזור קשב
- [עצלנות | חסרוני | התנהגויות] מעבר תכוף בין משימות
- [עצלנות | חסרוני | התנהגויות] התחלה של פרויקטים רבים ללא סיום
- [עצלנות | חסרוני | התנהגויות] קושי בסינון גירויים
- [עצלנות | חסרוני | התנהגויות] תמיד יש משהו טוב יותר לעשות
- [עצלנות | חסרוני | התנהגויות] קשה לדעת מה באמת חשוב
- [עצלנות | חסרוני | התנהגויות] ריבוי עיסוקים מוביל ליותר הזדמנויות
- [עצלנות | חסרוני | התנהגויות] תוצאות חלקיות בריבוי תחומים
- [עצלנות | חסרוני | התנהגויות] בזבוז אנרגיה ומשאבים
- [עצלנות | חסרוני | התנהגויות] תחושת אי-השלמה תמידית
- [עצלנות | חסרוני | התנהגויות] מיקוד מטרה
- [עצלנות | מוגזם | התנהגויות] הזנחת יחסים, בריאות ותחומים אחרים
- [עצלנות | מוגזם | התנהגויות] שעות מופרזות על משימה אחת
- [עצלנות | מוגזם | התנהגויות] קושי לשחרר שליטה
- [עצלנות | מוגזם | התנהגויות] הצלחה בתחום אחד שווה כל מחיר
- [עצלנות | מוגזם | התנהגויות] פשרה היא כישלון
- [עצלנות | מוגזם | התנהגויות] אין זמן לדברים אחרים
- [עצלנות | מוגזם | התנהגויות] חוסר איזון בחיים
- [עצלנות | מוגזם | התנהגויות] יחסים מתוחים עם הסביבה
- [עצלנות | מוגזם | התנהגויות] התמוטטות בתחומים מוזנחים
- [עצלנות | מוגזם | התנהגויות] 4מוטיבציה פנימית
- [עצלנות | מוגזם | התנהגויות] הנעה עצמית לפעולה מתוך עניין, סיפוק או תחושת משמעות, ללא תלות בגמול חיצוני
- [עצלנות | מוגזם | התנהגויות] תלות בתמריצים חיצוניים
- [עצלנות | חסרוני | התנהגויות] דחיינות במשימות ללא פיקוח
- [עצלנות | חסרוני | התנהגויות] עבודה רק כשיש עין חיצונית
- [עצלנות | חסרוני | התנהגויות] הפסקת מאמץ כשאין גמול גלוי
- [עצלנות | חסרוני | התנהגויות] פעולה ללא תגמול היא בזבוז
- [עצלנות | חסרוני | התנהגויות] הערך נמצא רק במה שאחרים מעריכים
- [עצלנות | חסרוני | התנהגויות] מוטיבציה מגיעה מבחוץ
- [עצלנות | חסרוני | התנהגויות] קושי בפרויקטים ארוכי טווח
- [עצלנות | חסרוני | התנהגויות] שינויי מוטיבציה קיצוניים
- [עצלנות | חסרוני | התנהגויות] צורך תמידי בתגמולים חדשים
- [עצלנות | חסרוני | התנהגויות] מוטיבציה פנימית
- [עצלנות | מוגזם | התנהגויות] דחיית הזדמנויות פרקטיות
- [עצלנות | מוגזם | התנהגויות] הסתגרות בפרויקטים אישיים
- [עצלנות | מוגזם | התנהגויות] התעלמות מדרישות הסביבה
- [עצלנות | מוגזם | התנהגויות] לקיחת שיקולים חיצוניים פוגעת בטוהר העשייה
- [עצלנות | מוגזם | התנהגויות] הצלחה חיצונית היא סימן לפשרנות
- [עצלנות | מוגזם | התנהגויות] אמנות לשם אמנות בלבד
- [עצלנות | מוגזם | התנהגויות] קשיים כלכליים
- [עצלנות | מוגזם | התנהגויות] ניתוק חברתי
- [עצלנות | מוגזם | התנהגויות] החמצת הזדמנויות לאימפקט רחב
- [עצלנות | מוגזם | התנהגויות] 5משמעת עצמית
- [עצלנות | מוגזם | התנהגויות] היכולת לפעול בהתאם לערכים ומטרות ארוכות טווח, גם כשהדבר דורש ויתור על סיפוק מיידי
- [עצלנות | מוגזם | התנהגויות] אימפולסיביות
- [עצלנות | חסרוני | התנהגויות] קבלת החלטות פזיזה
- [עצלנות | חסרוני | התנהגויות] קושי בעמידה בהתחייבויות
- [עצלנות | חסרוני | התנהגויות] החיים קצרים, צריך ליהנות עכשיו
- [עצלנות | חסרוני | התנהגויות] שליטה עצמית היא דיכוי
- [עצלנות | חסרוני | התנהגויות] רגשות הם המדריך הטוב ביותר
- [עצלנות | חסרוני | התנהגויות] החמצת יעדים ארוכי טווח
- [עצלנות | חסרוני | התנהגויות] קשיים ביחסים
- [עצלנות | חסרוני | התנהגויות] צבירת בעיות עתידיות
- [עצלנות | חסרוני | התנהגויות] משמעת עצמית
- [עצלנות | מוגזם | התנהגויות] תוכניות נוקשות ללא גמישות
- [עצלנות | מוגזם | התנהגויות] הימנעות ממצבים בלתי צפויים
- [עצלנות | מוגזם | התנהגויות] דיכוי צרכים ורגשות
- [עצלנות | מוגזם | התנהגויות] ספונטניות היא סכנה
- [עצלנות | מוגזם | התנהגויות] צריך שליטה מלאה בכל רגע
- [עצלנות | מוגזם | התנהגויות] ויתור על משמעת הוא כישלון אישי
- [עצלנות | מוגזם | התנהגויות] התמוטטות תחת לחץ
- [עצלנות | מוגזם | התנהגויות] מיצוי יתר וחוסר יצירתיות
- [עצלנות | מוגזם | התנהגויות] 6גמישות אסטרטגית
- [עצלנות | מוגזם | התנהגויות] היכולת להתמיד במטרה תוך התאמת הדרך להשגתה בהתאם לנסיבות משתנות ומשוב
- [עצלנות | מוגזם | התנהגויות] חוסר התמצאות
- [עצלנות | חסרוני | התנהגויות] היצמדות לגישה אחת למרות כישלונה
- [עצלנות | חסרוני | התנהגויות] נטישת מטרות בקלות
- [עצלנות | חסרוני | התנהגויות] הימנעות מפתרון בעיות מורכבות
- [עצלנות | חסרוני | התנהגויות] או שזה עובד או שלא
- [עצלנות | חסרוני | התנהגויות] אין טעם לחפש דרכים אחרות
- [עצלנות | חסרוני | התנהגויות] כישלון הוא סימן לעצור
- [עצלנות | חסרוני | התנהגויות] תלות באחרים לפתרונות
- [עצלנות | חסרוני | התנהגויות] אובדן הזדמנויות
- [עצלנות | חסרוני | התנהגויות] תקיעות בבעיות פתירות
- [עצלנות | חסרוני | התנהגויות] גמישות אסטרטגית
- [עצלנות | מוגזם | התנהגויות] שינויים תכופים בגישה
- [עצלנות | מוגזם | התנהגויות] זניחה מוקדמת של אסטרטגיות
- [עצלנות | מוגזם | התנהגויות] איסוף כלים ושיטות ללא העמקה
- [עצלנות | מוגזם | התנהגויות] תמיד יש דרך טובה יותר
- [עצלנות | מוגזם | התנהגויות] התמדה היא תקיעות
- [עצלנות | מוגזם | התנהגויות] חדשנות חשובה יותר מהעמקה
- [עצלנות | מוגזם | התנהגויות] קושי להגיע למומחיות
- [עצלנות | מוגזם | התנהגויות] בזבוז משאבים על התחלות חדשות
- [עצלנות | מוגזם | התנהגויות] חוסר אמינות בעיני אחרים
- [עצלנות | מוגזם | התנהגויות] 7סבלנות
- [עצלנות | מוגזם | התנהגויות] היכולת לשאת עיכובים, קשיים ותסכולים בדרך למטרה, מבלי לאבד מיקוד או מוטיבציה
- [עצלנות | מוגזם | התנהגויות] חוסר סבלנות
- [עצלנות | חסרוני | התנהגויות] ויתור מהיר על תהליכים ארוכים
- [עצלנות | חסרוני | התנהגויות] דילוג על שלבים חיוניים
- [עצלנות | חסרוני | התנהגויות] אם לא רואים תוצאות מיד, כנראה לא יהיו
- [עצלנות | חסרוני | התנהגויות] דחיית סיפוק היא בזבוז זמן
- [עצלנות | חסרוני | התנהגויות] קצר וקל עדיף תמיד
- [עצלנות | חסרוני | התנהגויות] החמצת פירות של תהליכים ארוכים
- [עצלנות | חסרוני | התנהגויות] יחסים שטחיים
- [עצלנות | חסרוני | התנהגויות] החלטות לטווח קצר שפוגעות בטווח ארוך
- [עצלנות | חסרוני | התנהגויות] סבלנות
- [עצלנות | מוגזם | התנהגויות] דחיינות מתמשכת
- [עצלנות | מוגזם | התנהגויות] הימנעות מנקיטת יוזמה
- [עצלנות | מוגזם | התנהגויות] קבלה של מכשולים שניתן להסיר
- [עצלנות | מוגזם | התנהגויות] הכל יקרה בזמנו
- [עצלנות | מוגזם | התנהגויות] פעולה אקטיבית היא התנגדות לזרם
- [עצלנות | מוגזם | התנהגויות] סבלנות פירושה להמתין ללא פעולה
- [עצלנות | מוגזם | התנהגויות] החמצת הזדמנויות
- [עצלנות | מוגזם | התנהגויות] היגררות לנסיבות במקום יצירתן
- [עצלנות | מוגזם | התנהגויות] חוסר התקדמות אמיתית
- [עצלנות | מוגזם | התנהגויות] 8חוסן בפני כישלונות
- [עצלנות | מוגזם | התנהגויות] היכולת להתאושש מכישלונות, ללמוד מהם ולהמשיך בדרך למטרה ללא איבוד הערך העצמי
- [עצלנות | מוגזם | התנהגויות] פגיעות לכישלון
- [עצלנות | חסרוני | התנהגויות] הימנעות ממצבים עם סיכון לכישלון
- [עצלנות | חסרוני | התנהגויות] ויתור מיידי אחרי קושי
- [עצלנות | חסרוני | התנהגויות] האשמה עצמית חריפה
- [עצלנות | חסרוני | התנהגויות] כישלון הוא ראיה לחוסר ערך
- [עצלנות | חסרוני | התנהגויות] אנשים שופטים אותי לפי הצלחותיי
- [עצלנות | חסרוני | התנהגויות] טעויות הן בלתי הפיכות
- [עצלנות | חסרוני | התנהגויות] צמצום הדרגתי של ניסיונות
- [עצלנות | חסרוני | התנהגויות] חוסר למידה מטעויות
- [עצלנות | חסרוני | התנהגויות] הימנעות מהזדמנויות
- [עצלנות | חסרוני | התנהגויות] חוסן בפני כישלונות
- [עצלנות | מוגזם | התנהגויות] חזרה על אותן טעויות
- [עצלנות | מוגזם | התנהגויות] התעלמות ממשוב חיוני
- [עצלנות | מוגזם | התנהגויות] לקיחת סיכונים לא שקולים
- [עצלנות | מוגזם | התנהגויות] למידה מכישלונות היא מיתוס
- [עצלנות | מוגזם | התנהגויות] פגיעות רגשית היא חולשה
- [עצלנות | מוגזם | התנהגויות] הצלחה וכישלון הם מושגים שרירותיים
- [עצלנות | מוגזם | התנהגויות] חוסר למידה והתפתחות
- [עצלנות | מוגזם | התנהגויות] פגיעה במוניטין
- [עצלנות | מוגזם | התנהגויות] החמצת הזדמנויות אמיתיות לשיפור
